0,1,2,3,4,5,6,7
1.0,0.4242,0.3802,0.3172,0.2841,0.2399,0.1818,0.0008
1.0,0.3146,0.2486,0.2183,0.174,0.127,0.0002,
1.0,0.2157,0.1783,0.1328,0.0848,0.0001,,
1.0,0.1926,0.1327,0.0889,0.0001,,,
1.0,0.1539,0.104,0.0002,,,,
1.0,0.1306,0.0001,,,,,
1.0,0.0002,,,,,,
